Ticker,Allocation,Dividend Yield
AAPL,$1265.97,0.44%
MSFT,$1162.94,0.78%
NVDA,$1088.54,0.03%
GOOG,$740.46,0.48%
GOOGL,$740.46,0.49%
AMZN,$721.14,N/A
META,$524.66,0.35%
TSLA,$304.15,N/A
AVGO,$294.83,1.23%
COST,$143.45,0.52%
ASML,$121.56,0.79%
NFLX,$110.96,N/A
AMD,$97.23,N/A
AZN,$88.43,1.91%
TMUS,$87.51,1.72%
PEP,$85.35,3.19%
LIN,$83.70,1.16%
ADBE,$82.94,N/A
CSCO,$77.34,3.03%
TXN,$69.80,2.60%
QCOM,$69.28,2.00%
PDD,$68.72,N/A
INTU,$63.42,0.67%
AMGN,$63.38,2.79%
ISRG,$62.24,N/A
AMAT,$61.75,0.76%
CMCSA,$58.94,2.98%
ARM,$55.77,N/A
BKNG,$52.06,0.82%
HON,$49.31,2.08%
VRTX,$43.67,N/A
MU,$43.57,0.42%
ADI,$42.11,1.59%
REGN,$42.01,N/A
ADP,$40.68,2.05%
SBUX,$40.33,2.34%
PANW,$39.96,N/A
LRCX,$39.19,1.11%
KLAC,$38.32,0.74%
MELI,$38.26,N/A
GILD,$38.05,3.68%
INTC,$37.37,2.09%
MDLZ,$36.23,2.53%
CTAS,$29.83,0.77%
ABNB,$29.65,N/A
CEG,$29.37,0.55%
PYPL,$29.10,N/A
SNPS,$28.82,N/A
CDNS,$27.44,N/A
MAR,$26.04,1.00%
CRWD,$25.61,N/A
CSX,$24.47,1.39%
ORLY,$24.30,N/A
WDAY,$23.60,N/A
NXPI,$22.81,1.66%
MRVL,$22.48,0.34%
ROP,$21.70,0.54%
FTNT,$21.65,N/A
ADSK,$21.42,N/A
DASH,$21.40,N/A
AEP,$19.81,3.46%
TTD,$19.67,N/A
PCAR,$18.80,1.22%
MNST,$18.78,N/A
KDP,$18.55,2.46%
ROST,$18.38,0.97%
CPRT,$18.31,N/A
FANG,$18.26,6.31%
PAYX,$17.49,2.95%
CHTR,$17.02,N/A
MCHP,$15.80,2.25%
KHC,$15.63,4.52%
ODFL,$15.41,0.53%
IDXX,$15.40,N/A
GEHC,$15.36,0.13%
TEAM,$15.32,N/A
FAST,$14.97,2.18%
EXC,$14.77,3.76%
DDOG,$14.07,N/A
EA,$13.97,0.53%
CTSH,$13.93,1.56%
VRSK,$13.76,0.59%
CCEP,$13.32,2.61%
BKR,$13.23,2.32%
XEL,$13.16,3.39%
LULU,$12.57,N/A
ON,$11.65,N/A
CSGP,$11.24,N/A
CDW,$11.06,1.09%
ANSS,$10.39,N/A
BIIB,$10.37,N/A
DXCM,$9.86,N/A
TTWO,$9.81,N/A
ZS,$9.57,N/A
MRNA,$9.24,N/A
SMCI,$8.98,N/A
GFS,$8.26,N/A
ILMN,$7.58,N/A
WBD,$7.51,N/A
MDB,$7.28,N/A
DLTR,$5.75,N/A
